time,tasmin,tasmax,pr
1951-01-01,8.68,23.22,0.0
1951-01-02,13.89,29.5,0.0
1951-01-03,15.14,36.62,0.87
1951-01-04,10.01,24.53,4.4
1951-01-05,8.64,20.51,0.08
1951-01-06,8.93,24.99,0.0
1951-01-07,9.53,26.99,0.0
1951-01-08,11.05,27.81,0.0
1951-01-09,18.15,34.21,0.0
1951-01-10,23.11,40.26,0.0
1951-01-11,8.81,34.2,0.02
1951-01-12,11.97,29.35,0.0
1951-01-13,9.33,29.33,0.0
1951-01-14,12.44,27.52,0.0
1951-01-15,14.92,30.63,0.0
1951-01-16,16.65,34.35,0.0
1951-01-17,17.96,34.4,0.01
1951-01-18,18.24,35.98,0.14
1951-01-19,19.22,38.22,0.0
1951-01-20,20.05,39.84,0.0
1951-01-21,17.59,38.22,0.0
1951-01-22,18.25,37.27,0.0
1951-01-23,12.49,37.15,0.0
1951-01-24,18.48,35.9,0.0
1951-01-25,21.33,37.96,0.0
1951-01-26,24.82,41.83,0.0
1951-01-27,27.94,43.48,0.0
1951-01-28,20.03,45.23,0.0
1951-01-29,14.2,34.2,0.0
1951-01-30,11.77,31.26,0.0
1951-01-31,11.59,29.25,0.05
1951-02-01,13.49,29.58,0.0
1951-02-02,17.55,33.98,0.0
1951-02-03,17.71,33.27,0.0
1951-02-04,22.5,37.08,0.0
1951-02-05,17.72,40.56,0.02
1951-02-06,19.79,37.83,0.0
1951-02-07,19.43,37.21,1.81
1951-02-08,21.95,36.65,4.58
1951-02-09,11.26,25.32,4.25
1951-02-10,12.04,28.38,0.0
1951-02-11,18.56,31.86,0.0
1951-02-12,20.79,34.27,1.6
1951-02-13,21.97,35.01,23.84
1951-02-14,20.1,31.9,1.19
1951-02-15,20.91,35.73,3.54
1951-02-16,22.02,37.16,0.01
1951-02-17,19.6,40.68,11.48
1951-02-18,13.16,20.49,24.37
1951-02-19,13.87,22.95,0.0
1951-02-20,17.69,28.34,0.01
1951-02-21,19.0,32.01,0.03
1951-02-22,21.43,34.37,0.01
1951-02-23,18.34,36.17,0.08
1951-02-24,10.3,26.63,5.65
1951-02-25,9.1,18.22,0.0
1951-02-26,12.47,22.15,0.18
1951-02-27,11.72,21.65,0.15
1951-02-28,13.03,25.16,0.0
1951-03-01,13.92,28.62,0.0
1951-03-02,14.27,29.03,0.01
1951-03-03,10.5,29.19,0.0
1951-03-04,12.34,27.43,0.0
1951-03-05,14.27,29.61,0.0
1951-03-06,16.49,30.71,0.0
1951-03-07,13.18,32.78,0.02
1951-03-08,13.25,31.58,0.0
1951-03-09,13.43,30.81,0.0
1951-03-10,11.29,27.04,0.0
1951-03-11,14.69,28.07,0.0
1951-03-12,16.8,31.34,0.0
1951-03-13,20.63,31.93,1.99
1951-03-14,14.0,31.13,1.71
1951-03-15,12.44,25.92,0.01
1951-03-16,12.57,26.55,0.0
1951-03-17,11.06,29.08,0.0
1951-03-18,10.19,27.23,0.0
1951-03-19,10.05,27.89,0.24
1951-03-20,8.21,21.05,0.26
1951-03-21,9.43,22.67,0.02
1951-03-22,10.8,24.57,0.04
1951-03-23,9.47,25.65,0.0
1951-03-24,11.01,27.16,0.55
1951-03-25,7.77,19.51,5.09
1951-03-26,5.49,13.56,1.04
1951-03-27,6.47,18.84,0.01
1951-03-28,8.17,21.73,0.0
1951-03-29,9.99,23.58,0.0
1951-03-30,10.82,24.83,0.0
1951-03-31,10.45,24.79,0.0
1951-04-01,13.34,25.67,0.0
1951-04-02,15.06,27.29,0.45
1951-04-03,10.8,26.91,0.32
1951-04-04,7.33,20.27,0.0
1951-04-05,8.0,19.88,0.0
1951-04-06,12.03,22.67,0.04
1951-04-07,9.47,24.09,0.04
1951-04-08,8.61,23.07,0.0
1951-04-09,9.61,22.58,0.06
1951-04-10,10.99,23.31,0.09
1951-04-11,9.22,25.24,0.1
1951-04-12,5.8,20.94,0.34
1951-04-13,10.04,17.56,0.21
1951-04-14,9.37,21.75,0.12
1951-04-15,10.1,22.11,0.1
1951-04-16,9.91,22.28,0.09
1951-04-17,9.9,24.02,0.02
1951-04-18,9.3,22.7,0.0
1951-04-19,12.14,25.61,0.0
1951-04-20,13.04,26.72,0.0
1951-04-21,11.64,26.92,0.01
1951-04-22,8.49,25.07,0.0
1951-04-23,10.46,23.27,0.0
1951-04-24,9.06,23.8,0.0
1951-04-25,9.4,24.14,0.0
1951-04-26,7.26,20.87,0.22
1951-04-27,8.8,21.31,0.0
1951-04-28,12.12,24.39,0.53
1951-04-29,9.27,18.23,0.35
1951-04-30,8.72,23.78,0.03
1951-05-01,8.56,20.66,0.0
1951-05-02,12.9,27.49,0.39
1951-05-03,7.89,16.27,0.49
1951-05-04,8.39,18.78,0.06
1951-05-05,8.71,21.53,0.0
1951-05-06,13.2,25.4,0.0
1951-05-07,13.51,28.39,0.11
1951-05-08,5.07,18.57,0.11
1951-05-09,5.9,16.85,0.0
1951-05-10,10.56,21.61,0.0
1951-05-11,7.59,23.24,0.0
1951-05-12,14.49,25.19,0.0
1951-05-13,9.44,18.15,3.83
1951-05-14,4.06,13.52,0.13
1951-05-15,7.14,17.36,0.06
1951-05-16,5.82,17.11,0.05
1951-05-17,4.55,16.22,0.0
1951-05-18,8.0,18.23,0.0
1951-05-19,8.29,21.48,0.0
1951-05-20,8.89,21.03,0.0
1951-05-21,10.57,21.7,0.09
