time,tasmin,tasmax,pr
1951-01-01,20.22,28.44,0.4
1951-01-02,20.39,30.69,10.41
1951-01-03,22.55,27.68,0.54
1951-01-04,20.43,28.47,0.08
1951-01-05,21.22,29.7,0.07
1951-01-06,21.54,26.6,2.42
1951-01-07,21.14,26.21,5.68
1951-01-08,22.24,25.54,0.14
1951-01-09,20.99,24.04,0.48
1951-01-10,20.26,25.86,0.27
1951-01-11,18.96,26.35,0.09
1951-01-12,19.05,26.81,0.05
1951-01-13,20.96,28.2,0.3
1951-01-14,20.69,28.61,78.03
1951-01-15,20.43,23.94,19.09
1951-01-16,20.34,22.96,16.82
1951-01-17,18.52,21.95,35.21
1951-01-18,17.25,24.16,0.42
1951-01-19,16.27,24.24,0.05
1951-01-20,15.81,24.06,0.08
1951-01-21,16.48,24.19,0.16
1951-01-22,19.41,24.85,0.09
1951-01-23,16.67,25.23,0.03
1951-01-24,17.43,26.06,0.0
1951-01-25,20.08,26.82,0.14
1951-01-26,22.83,27.63,12.11
1951-01-27,23.32,25.68,37.03
1951-01-28,22.32,26.35,0.43
1951-01-29,19.38,26.7,0.15
1951-01-30,19.99,26.47,0.29
1951-01-31,19.1,27.45,0.05
1951-02-01,18.58,26.73,0.05
1951-02-02,20.61,27.08,0.17
1951-02-03,22.85,26.69,1.29
1951-02-04,22.45,27.08,2.09
1951-02-05,23.23,27.46,3.71
1951-02-06,23.21,27.5,0.67
1951-02-07,22.33,27.33,0.45
1951-02-08,19.96,27.15,6.85
1951-02-09,19.18,27.01,0.65
1951-02-10,19.63,27.56,0.14
1951-02-11,21.1,27.26,0.09
1951-02-12,21.33,27.19,0.37
1951-02-13,18.02,26.97,0.08
1951-02-14,18.09,27.14,0.03
1951-02-15,20.87,27.99,0.08
1951-02-16,21.32,27.8,0.1
1951-02-17,22.9,29.29,0.04
1951-02-18,25.29,33.12,0.02
1951-02-19,22.6,34.66,7.42
1951-02-20,21.36,26.33,0.25
1951-02-21,21.65,26.31,0.11
1951-02-22,21.68,26.39,0.29
1951-02-23,20.98,26.46,1.03
1951-02-24,20.71,26.88,1.6
1951-02-25,22.59,28.16,3.03
1951-02-26,23.15,26.33,3.29
1951-02-27,23.59,26.7,1.39
1951-02-28,23.2,27.09,1.3
1951-03-01,20.11,27.22,0.1
1951-03-02,23.7,27.57,6.67
1951-03-03,23.71,27.49,6.83
1951-03-04,22.06,30.17,0.06
1951-03-05,22.78,27.43,0.23
1951-03-06,22.91,26.57,3.42
1951-03-07,21.14,26.36,5.07
1951-03-08,21.4,27.61,2.08
1951-03-09,21.46,27.56,3.71
1951-03-10,21.73,28.98,37.98
1951-03-11,22.0,26.52,0.88
1951-03-12,23.82,27.23,2.83
1951-03-13,23.76,26.96,7.76
1951-03-14,19.37,26.28,0.67
1951-03-15,21.97,27.38,0.86
1951-03-16,23.27,28.57,0.88
1951-03-17,25.16,27.83,5.39
1951-03-18,25.01,27.81,12.28
1951-03-19,25.33,28.78,1.29
1951-03-20,22.97,29.0,9.02
1951-03-21,18.7,24.47,0.12
1951-03-22,20.23,25.06,0.64
1951-03-23,20.78,25.59,3.44
1951-03-24,20.42,25.8,0.28
1951-03-25,17.69,25.85,0.13
1951-03-26,20.15,26.52,0.31
1951-03-27,19.3,23.65,0.57
1951-03-28,18.38,23.06,2.04
1951-03-29,21.42,23.55,22.55
1951-03-30,22.66,24.93,45.3
1951-03-31,22.6,25.71,59.4
1951-04-01,21.74,25.4,3.07
1951-04-02,22.89,26.02,2.53
1951-04-03,22.68,25.71,3.78
1951-04-04,20.64,26.2,2.3
1951-04-05,20.37,25.97,2.9
1951-04-06,18.68,24.06,9.39
1951-04-07,21.09,25.48,14.96
1951-04-08,21.15,25.21,9.24
1951-04-09,21.44,25.18,13.13
1951-04-10,21.04,24.22,4.71
1951-04-11,22.18,24.18,16.48
1951-04-12,17.6,24.84,11.73
1951-04-13,16.73,24.08,0.34
1951-04-14,16.61,23.04,7.22
1951-04-15,14.23,23.07,0.18
1951-04-16,13.55,23.44,0.05
