time,sc_pdsi
1400-01-01,-2.18
1401-01-01,-2.19
1402-01-01,0.36
1403-01-01,-3.4
1404-01-01,-2.79
1405-01-01,2.64
1406-01-01,2.34
1407-01-01,1.02
1408-01-01,0.79
1409-01-01,1.13
1410-01-01,0.44
1411-01-01,0.57
1412-01-01,-4.22
1413-01-01,-0.98
1414-01-01,-0.11
1415-01-01,-0.08
1416-01-01,-2.3
1417-01-01,0.94
1418-01-01,0.82
1419-01-01,0.69
1420-01-01,-2.86
1421-01-01,-1.36
1422-01-01,-0.6
1423-01-01,1.13
1424-01-01,-1.12
1425-01-01,-1.59
1426-01-01,0.28
1427-01-01,0.84
1428-01-01,-0.96
1429-01-01,-1.76
1430-01-01,2.43
1431-01-01,-0.62
1432-01-01,-0.47
1433-01-01,3.77
1434-01-01,-1.24
1435-01-01,0.94
1436-01-01,3.4
1437-01-01,1.41
1438-01-01,-0.09
1439-01-01,-1.22
1440-01-01,-2.73
1441-01-01,-0.36
1442-01-01,-0.96
1443-01-01,-2.24
1444-01-01,1.38
1445-01-01,-1.86
1446-01-01,-0.04
1447-01-01,-0.31
1448-01-01,0.73
1449-01-01,0.52
1450-01-01,0.94
1451-01-01,-2.12
1452-01-01,-0.73
1453-01-01,0.38
1454-01-01,1.0
1455-01-01,0.51
1456-01-01,1.45
1457-01-01,2.5
1458-01-01,-1.25
1459-01-01,0.62
1460-01-01,0.4
1461-01-01,-1.06
1462-01-01,-0.78
1463-01-01,-0.24
1464-01-01,0.01
1465-01-01,0.82
1466-01-01,0.35
1467-01-01,0.53
1468-01-01,0.93
1469-01-01,1.09
1470-01-01,1.07
1471-01-01,0.02
1472-01-01,1.38
1473-01-01,-0.48
1474-01-01,0.16
1475-01-01,-3.35
1476-01-01,-0.75
1477-01-01,-0.55
1478-01-01,-0.59
1479-01-01,1.36
1480-01-01,-0.81
1481-01-01,2.13
1482-01-01,1.58
1483-01-01,-1.75
1484-01-01,-0.4
1485-01-01,-0.41
1486-01-01,-2.43
1487-01-01,-1.08
1488-01-01,0.17
1489-01-01,-1.24
1490-01-01,-0.58
1491-01-01,1.21
1492-01-01,-1.61
1493-01-01,-0.25
1494-01-01,3.78
1495-01-01,-0.7
1496-01-01,1.48
1497-01-01,-1.72
1498-01-01,-2.81
1499-01-01,-1.32
1500-01-01,-1.42
1501-01-01,-0.68
1502-01-01,1.09
1503-01-01,0.44
1504-01-01,0.8
1505-01-01,0.99
1506-01-01,0.7
1507-01-01,2.37
1508-01-01,-1.3
1509-01-01,1.7
1510-01-01,0.14
1511-01-01,-1.89
1512-01-01,1.37
1513-01-01,-1.08
1514-01-01,0.76
1515-01-01,-2.71
1516-01-01,-1.35
1517-01-01,1.97
1518-01-01,-1.11
1519-01-01,-3.11
1520-01-01,0.03
1521-01-01,-0.13
1522-01-01,3.99
1523-01-01,2.88
1524-01-01,2.14
1525-01-01,3.1
1526-01-01,1.22
1527-01-01,-1.8
1528-01-01,0.13
1529-01-01,0.84
1530-01-01,0.3
1531-01-01,1.25
1532-01-01,1.3
1533-01-01,2.84
1534-01-01,-0.3
1535-01-01,0.34
1536-01-01,-0.04
1537-01-01,1.3
1538-01-01,1.08
1539-01-01,1.94
1540-01-01,-0.01
1541-01-01,0.71
1542-01-01,0.02
1543-01-01,-0.67
1544-01-01,-1.99
1545-01-01,-0.46
1546-01-01,-0.12
1547-01-01,0.87
1548-01-01,0.31
1549-01-01,-0.43
1550-01-01,-0.28
1551-01-01,-0.79
1552-01-01,0.77
1553-01-01,1.03
1554-01-01,0.85
1555-01-01,-1.78
1556-01-01,-1.18
1557-01-01,-0.76
1558-01-01,1.21
1559-01-01,-3.38
1560-01-01,-1.72
1561-01-01,4.4
1562-01-01,1.42
1563-01-01,0.83
1564-01-01,0.55
1565-01-01,-2.63
1566-01-01,1.46
1567-01-01,1.4
1568-01-01,1.96
1569-01-01,-0.72
1570-01-01,1.61
1571-01-01,2.06
1572-01-01,0.88
1573-01-01,2.23
1574-01-01,0.84
1575-01-01,-0.71
1576-01-01,1.84
1577-01-01,0.1
1578-01-01,-0.69
1579-01-01,-0.17
1580-01-01,0.01
1581-01-01,-0.12
1582-01-01,0.98
1583-01-01,0.11
1584-01-01,-1.33
1585-01-01,-0.2
1586-01-01,-0.36
1587-01-01,0.19
1588-01-01,1.19
1589-01-01,1.11
1590-01-01,-0.31
1591-01-01,-2.02
1592-01-01,-0.72
1593-01-01,-1.33
1594-01-01,-1.59
1595-01-01,1.1
1596-01-01,-1.49
1597-01-01,-2.73
1598-01-01,-0.82
1599-01-01,-0.85
1600-01-01,0.83
1601-01-01,-1.11
1602-01-01,1.46
1603-01-01,4.19
1604-01-01,1.44
1605-01-01,-1.44
1606-01-01,2.53
1607-01-01,0.44
1608-01-01,-0.2
1609-01-01,1.89
1610-01-01,-0.18
1611-01-01,3.26
1612-01-01,1.84
1613-01-01,0.37
1614-01-01,2.04
1615-01-01,-3.21
1616-01-01,1.22
1617-01-01,-1.16
1618-01-01,-0.2
1619-01-01,0.54
1620-01-01,-1.8
1621-01-01,-2.16
1622-01-01,1.55
1623-01-01,1.68
1624-01-01,-2.6
1625-01-01,2.62
1626-01-01,3.14
1627-01-01,1.73
1628-01-01,5.02
1629-01-01,-0.17
1630-01-01,0.6
1631-01-01,-0.94
1632-01-01,-1.16
1633-01-01,1.6
1634-01-01,-0.6
1635-01-01,-2.29
1636-01-01,-3.55
1637-01-01,-0.24
1638-01-01,1.65
1639-01-01,-1.63
1640-01-01,-0.06
1641-01-01,-0.12
1642-01-01,-1.38
1643-01-01,-0.97
1644-01-01,3.03
1645-01-01,0.7
1646-01-01,-0.95
1647-01-01,-2.36
1648-01-01,1.38
1649-01-01,1.75
1650-01-01,0.98
1651-01-01,-2.91
1652-01-01,-0.19
1653-01-01,-0.46
1654-01-01,-1.71
1655-01-01,-0.46
1656-01-01,1.44
1657-01-01,-1.71
1658-01-01,0.15
1659-01-01,-1.13
1660-01-01,1.18
1661-01-01,-0.99
1662-01-01,-0.63
1663-01-01,2.54
1664-01-01,-1.15
1665-01-01,-0.75
1666-01-01,-2.54
1667-01-01,0.88
1668-01-01,-1.35
1669-01-01,-0.22
1670-01-01,-0.99
1671-01-01,0.58
1672-01-01,-0.14
1673-01-01,0.55
1674-01-01,-1.59
1675-01-01,0.39
1676-01-01,-0.51
1677-01-01,0.27
1678-01-01,2.69
1679-01-01,1.62
1680-01-01,-1.94
1681-01-01,-2.15
1682-01-01,-0.28
1683-01-01,1.88
1684-01-01,-0.94
1685-01-01,-1.27
1686-01-01,0.07
1687-01-01,2.92
