time,tasmin,tasmax,pr
2060-01-01,22.03,29.7,1.79
2060-01-02,21.15,29.19,0.0
2060-01-03,21.45,29.62,0.0
2060-01-04,23.81,30.09,2.31
2060-01-05,23.13,26.8,11.1
2060-01-06,21.78,28.29,0.22
2060-01-07,22.34,29.59,0.04
2060-01-08,23.63,33.05,5.77
2060-01-09,24.02,34.41,1.6
2060-01-10,23.48,30.76,0.13
2060-01-11,20.44,33.23,17.48
2060-01-12,20.45,26.64,0.11
2060-01-13,21.87,26.92,7.53
2060-01-14,20.23,27.81,0.09
2060-01-15,22.9,30.89,0.12
2060-01-16,23.24,32.98,66.39
2060-01-17,22.52,28.29,9.32
2060-01-18,23.42,27.22,3.84
2060-01-19,23.98,28.12,0.36
2060-01-20,19.64,28.16,0.02
2060-01-21,22.29,29.85,0.0
2060-01-22,21.8,29.71,0.0
2060-01-23,22.75,30.15,0.0
2060-01-24,23.42,32.27,1.95
2060-01-25,20.88,25.53,53.22
2060-01-26,18.68,25.95,5.24
2060-01-27,20.12,26.43,2.87
2060-01-28,21.61,28.67,3.13
2060-01-29,23.53,29.41,17.22
2060-01-30,24.82,31.21,15.85
2060-01-31,21.04,27.97,3.52
2060-02-01,20.65,26.04,0.59
2060-02-02,21.84,28.21,0.1
2060-02-03,22.61,28.92,6.2
2060-02-04,22.04,26.71,7.92
2060-02-05,21.6,28.35,0.83
2060-02-06,23.19,29.84,0.0
2060-02-07,22.15,30.19,0.04
2060-02-08,23.44,30.91,0.08
2060-02-09,22.9,29.73,0.02
2060-02-10,22.41,30.17,0.01
2060-02-11,22.69,29.8,0.03
2060-02-12,21.7,30.08,0.03
2060-02-13,22.87,30.97,0.13
2060-02-14,23.13,31.27,0.04
2060-02-15,22.5,30.93,0.0
2060-02-16,22.58,31.03,0.01
2060-02-17,22.35,30.66,0.11
2060-02-18,23.38,30.61,0.05
2060-02-19,22.8,30.69,0.02
2060-02-20,24.55,30.85,0.38
2060-02-21,25.87,33.35,0.05
2060-02-22,24.79,30.09,1.01
2060-02-23,24.22,28.35,5.45
2060-02-24,21.82,27.83,20.41
2060-02-25,23.38,28.14,0.14
2060-02-26,24.84,29.86,1.6
2060-02-27,25.55,31.9,0.02
2060-02-28,24.91,33.41,0.0
2060-02-29,25.58,33.5,0.0
2060-03-01,25.57,34.24,0.0
2060-03-02,26.41,32.67,0.41
2060-03-03,25.06,30.68,1.0
2060-03-04,23.16,31.26,0.05
2060-03-05,24.85,32.76,2.22
2060-03-06,21.77,26.66,1.26
2060-03-07,22.03,28.36,5.02
2060-03-08,23.52,29.37,4.27
2060-03-09,23.13,29.92,3.42
2060-03-10,23.13,29.73,3.79
2060-03-11,20.97,29.46,0.08
2060-03-12,22.1,28.87,0.09
2060-03-13,20.46,29.36,0.06
2060-03-14,21.71,29.95,0.28
2060-03-15,23.14,29.01,5.22
2060-03-16,23.47,28.93,37.89
2060-03-17,24.37,27.79,27.11
2060-03-18,22.57,27.51,5.11
2060-03-19,23.93,27.14,72.73
2060-03-20,22.51,27.98,8.95
2060-03-21,20.86,28.27,0.06
2060-03-22,22.64,28.1,2.94
2060-03-23,19.19,25.78,0.05
2060-03-24,21.12,26.76,0.02
2060-03-25,21.95,27.3,14.5
2060-03-26,22.69,26.89,12.38
2060-03-27,22.53,28.21,4.22
2060-03-28,20.93,25.06,3.78
2060-03-29,22.54,25.35,27.68
2060-03-30,22.49,27.33,50.81
2060-03-31,22.24,27.8,19.67
2060-04-01,22.08,26.36,8.47
2060-04-02,18.93,25.73,0.98
2060-04-03,21.45,27.28,6.87
2060-04-04,22.37,26.64,9.6
2060-04-05,19.25,25.84,0.16
2060-04-06,20.19,26.6,10.22
2060-04-07,19.49,25.79,0.7
2060-04-08,20.08,25.02,3.29
2060-04-09,18.72,24.06,1.52
2060-04-10,19.42,24.34,5.36
2060-04-11,20.41,25.51,0.56
2060-04-12,19.37,25.87,0.02
2060-04-13,18.65,25.61,0.06
2060-04-14,21.67,26.01,17.5
2060-04-15,19.4,25.6,0.09
2060-04-16,16.06,24.54,0.02
