time,tasmin,tasmax,pr
1951-01-01,24.3,29.62,0.03
1951-01-02,25.5,29.07,0.04
1951-01-03,25.87,29.68,0.08
1951-01-04,24.77,29.91,0.02
1951-01-05,23.91,29.2,0.02
1951-01-06,22.83,29.61,0.01
1951-01-07,23.04,29.31,0.01
1951-01-08,24.75,29.26,0.06
1951-01-09,25.4,29.34,0.26
1951-01-10,24.61,29.39,0.18
1951-01-11,23.69,29.4,0.2
1951-01-12,24.52,29.49,0.03
1951-01-13,24.57,29.21,0.01
1951-01-14,24.79,29.24,0.01
1951-01-15,24.95,29.22,0.08
1951-01-16,25.51,29.16,1.66
1951-01-17,24.64,29.29,10.31
1951-01-18,23.63,28.46,1.59
1951-01-19,21.91,28.81,0.03
1951-01-20,22.32,29.11,0.18
1951-01-21,21.63,28.62,0.12
1951-01-22,21.19,29.06,0.04
1951-01-23,22.46,29.24,0.55
1951-01-24,24.41,29.04,0.76
1951-01-25,23.86,28.99,0.04
1951-01-26,23.49,28.98,0.01
1951-01-27,24.57,29.33,0.1
1951-01-28,25.92,29.9,0.45
1951-01-29,24.96,30.14,2.66
1951-01-30,25.33,30.01,4.91
1951-01-31,24.27,28.4,3.76
1951-02-01,25.48,29.85,0.05
1951-02-02,25.4,30.07,0.01
1951-02-03,25.65,29.75,1.77
1951-02-04,26.27,29.65,11.07
1951-02-05,26.15,28.02,14.9
1951-02-06,25.71,27.91,13.0
1951-02-07,24.87,27.57,62.33
1951-02-08,24.88,26.88,21.54
1951-02-09,25.27,27.65,8.28
1951-02-10,25.54,26.86,11.63
1951-02-11,25.23,27.13,63.49
1951-02-12,25.09,27.61,3.54
1951-02-13,23.71,28.34,3.12
1951-02-14,25.76,28.25,26.86
1951-02-15,25.28,28.21,7.25
1951-02-16,26.75,28.98,42.89
1951-02-17,26.35,28.35,20.68
1951-02-18,26.16,28.52,2.28
1951-02-19,24.49,29.09,0.44
1951-02-20,25.75,30.43,1.37
1951-02-21,26.27,29.12,2.53
1951-02-22,23.41,28.92,0.01
1951-02-23,24.12,28.87,1.47
1951-02-24,25.44,29.48,6.08
1951-02-25,25.63,29.71,6.39
1951-02-26,25.44,29.6,12.47
1951-02-27,24.8,29.27,15.59
1951-02-28,25.43,28.73,8.06
1951-03-01,25.48,29.52,18.47
1951-03-02,23.99,28.9,0.68
1951-03-03,23.14,29.05,0.09
1951-03-04,24.95,29.92,3.85
1951-03-05,24.78,29.44,4.89
1951-03-06,24.38,29.83,1.29
1951-03-07,24.62,30.59,0.14
1951-03-08,25.78,30.75,7.85
1951-03-09,25.98,30.57,10.11
1951-03-10,26.07,30.38,7.67
1951-03-11,26.14,30.27,4.17
1951-03-12,25.95,29.43,16.81
1951-03-13,26.31,29.07,7.61
1951-03-14,25.7,30.42,21.57
1951-03-15,24.78,29.81,1.47
1951-03-16,25.37,31.62,1.21
1951-03-17,26.79,32.11,0.55
1951-03-18,25.0,30.72,1.44
1951-03-19,26.22,30.32,0.38
1951-03-20,25.35,29.88,3.32
1951-03-21,25.24,29.88,3.92
1951-03-22,24.8,29.82,20.49
1951-03-23,24.59,28.63,8.56
1951-03-24,24.97,29.46,7.98
1951-03-25,24.52,28.89,5.28
1951-03-26,23.66,29.44,0.22
1951-03-27,18.04,30.81,18.52
1951-03-28,22.31,29.18,7.44
1951-03-29,24.51,29.91,11.69
1951-03-30,24.43,28.29,23.97
1951-03-31,24.55,29.58,20.99
1951-04-01,24.34,30.02,0.9
1951-04-02,25.49,28.86,86.42
1951-04-03,25.78,27.13,32.82
1951-04-04,26.09,28.22,35.84
1951-04-05,26.45,28.06,27.66
1951-04-06,26.37,28.28,3.18
1951-04-07,23.74,28.37,0.22
1951-04-08,25.59,28.9,2.81
1951-04-09,24.44,28.17,6.36
1951-04-10,23.37,27.65,1.64
1951-04-11,24.25,28.61,1.97
1951-04-12,24.33,28.68,15.66
1951-04-13,21.96,27.21,3.28
1951-04-14,17.2,26.74,0.0
1951-04-15,20.43,25.92,0.18
1951-04-16,20.42,27.6,0.57
1951-04-17,20.62,27.19,1.25
1951-04-18,20.42,27.54,0.39
1951-04-19,21.94,26.87,1.59
1951-04-20,21.12,27.12,0.84
1951-04-21,20.52,27.05,0.2
1951-04-22,20.05,26.75,0.11
1951-04-23,19.99,26.87,0.24
1951-04-24,22.05,27.43,4.03
1951-04-25,21.6,26.7,0.79
1951-04-26,21.79,26.46,4.97
1951-04-27,19.76,26.87,0.0
1951-04-28,19.97,26.44,0.03
1951-04-29,20.87,26.23,0.75
1951-04-30,21.3,26.18,3.73
1951-05-01,18.6,27.09,0.18
1951-05-02,19.58,26.03,0.43
1951-05-03,19.74,26.29,0.08
1951-05-04,19.59,26.23,0.07
1951-05-05,20.17,26.43,0.02
1951-05-06,20.7,26.37,0.12
1951-05-07,21.23,25.98,0.78
1951-05-08,20.17,26.45,0.42
1951-05-09,18.48,27.04,0.18
1951-05-10,19.82,25.84,1.67
1951-05-11,19.6,26.15,1.28
1951-05-12,18.41,25.8,0.84
1951-05-13,19.2,25.16,0.48
1951-05-14,18.44,25.85,0.11
1951-05-15,19.46,25.16,0.54
1951-05-16,18.19,23.42,0.38
1951-05-17,17.59,19.43,11.53
1951-05-18,15.39,19.16,10.05
1951-05-19,16.97,21.03,1.48
1951-05-20,18.55,23.08,1.21
1951-05-21,16.19,23.67,0.05
1951-05-22,16.44,24.69,0.02
1951-05-23,16.89,24.0,0.01
1951-05-24,14.52,23.47,0.52
1951-05-25,10.94,19.86,0.0
1951-05-26,9.3,17.93,0.0
1951-05-27,11.52,18.28,0.01
1951-05-28,16.23,21.22,0.51
1951-05-29,18.02,22.01,3.11
1951-05-30,19.48,22.33,7.7
1951-05-31,15.24,24.25,0.21
1951-06-01,16.53,22.36,0.22
1951-06-02,16.19,22.2,0.11
1951-06-03,16.84,22.23,0.2
1951-06-04,18.75,23.7,0.47
1951-06-05,16.23,23.25,0.05
1951-06-06,18.13,22.88,0.23
1951-06-07,18.59,23.32,0.13
1951-06-08,16.99,23.86,0.02
1951-06-09,18.45,23.97,0.09
1951-06-10,18.28,23.93,0.97
1951-06-11,16.57,23.16,0.09
1951-06-12,13.01,21.02,0.0
1951-06-13,11.26,20.65,0.0
1951-06-14,11.66,20.27,0.0
1951-06-15,12.81,20.38,0.0
1951-06-16,14.86,20.14,0.01
1951-06-17,14.8,22.03,0.05
1951-06-18,15.69,22.22,0.03
1951-06-19,14.46,22.78,0.07
1951-06-20,11.87,23.53,0.0
1951-06-21,13.08,20.88,0.0
1951-06-22,12.14,20.91,0.01
1951-06-23,9.36,20.21,0.0
1951-06-24,10.08,19.64,0.0
1951-06-25,10.17,19.51,0.01
1951-06-26,9.24,19.59,0.0
1951-06-27,9.85,18.81,0.0
1951-06-28,12.74,20.78,0.0
1951-06-29,14.53,20.12,0.03
1951-06-30,12.95,21.53,0.03
1951-07-01,14.09,20.92,0.03
1951-07-02,13.29,21.7,0.0
1951-07-03,12.44,21.32,0.0
1951-07-04,12.21,21.94,0.0
1951-07-05,10.05,21.01,0.0
1951-07-06,10.89,21.84,0.0
1951-07-07,13.62,21.05,0.01
1951-07-08,14.46,21.24,0.02
1951-07-09,15.73,21.87,0.19
1951-07-10,15.21,22.22,0.66
1951-07-11,14.24,21.78,0.02
1951-07-12,14.02,21.94,0.03
1951-07-13,13.39,21.05,0.1
1951-07-14,15.19,21.01,0.07
1951-07-15,15.94,21.49,0.35
1951-07-16,16.2,21.54,0.07
1951-07-17,16.43,22.51,0.0
1951-07-18,16.55,23.11,0.09
1951-07-19,11.51,24.3,0.0
1951-07-20,12.57,21.26,0.0
1951-07-21,13.97,20.7,0.03
1951-07-22,13.24,21.23,0.0
1951-07-23,14.27,21.06,0.08
1951-07-24,16.43,22.11,0.04
1951-07-25,13.0,21.52,0.03
1951-07-26,15.17,20.69,0.21
1951-07-27,14.32,21.66,0.02
1951-07-28,14.3,21.7,0.09
1951-07-29,14.85,21.51,0.09
1951-07-30,14.85,21.96,0.08
1951-07-31,13.11,21.74,0.03
1951-08-01,14.57,21.63,0.08
1951-08-02,15.09,21.83,0.12
1951-08-03,14.99,22.07,0.21
1951-08-04,17.66,22.2,0.42
1951-08-05,17.36,21.98,1.98
1951-08-06,13.52,22.43,0.06
1951-08-07,14.5,21.79,0.01
1951-08-08,12.93,21.56,0.0
1951-08-09,12.93,21.39,0.0
1951-08-10,14.89,22.08,0.04
1951-08-11,14.54,22.39,0.07
1951-08-12,17.49,22.44,1.98
1951-08-13,16.65,22.23,0.01
1951-08-14,16.94,23.25,0.16
1951-08-15,16.64,22.99,0.94
1951-08-16,17.05,22.53,0.42
1951-08-17,18.63,23.26,0.37
1951-08-18,20.12,24.3,0.46
1951-08-19,20.35,24.35,0.41
1951-08-20,19.49,24.41,0.18
1951-08-21,19.26,23.81,0.1
1951-08-22,20.2,23.49,0.15
1951-08-23,19.05,23.99,1.94
1951-08-24,12.87,25.67,0.0
1951-08-25,9.58,21.46,0.0
1951-08-26,9.61,21.22,0.0
1951-08-27,9.58,20.16,0.0
1951-08-28,10.62,21.09,0.01
1951-08-29,12.2,21.66,0.01
