time,sc_pdsi
1400-01-01,2.1
1401-01-01,1.1
1402-01-01,0.55
1403-01-01,1.62
1404-01-01,2.82
1405-01-01,2.89
1406-01-01,0.24
1407-01-01,-1.1
1408-01-01,1.34
1409-01-01,1.23
1410-01-01,0.38
1411-01-01,0.35
1412-01-01,-4.12
1413-01-01,-0.87
1414-01-01,-0.89
1415-01-01,1.14
1416-01-01,0.73
1417-01-01,0.48
1418-01-01,0.32
1419-01-01,-0.79
1420-01-01,-1.24
1421-01-01,-0.87
1422-01-01,2.22
1423-01-01,0.26
1424-01-01,0.17
1425-01-01,-0.51
1426-01-01,0.21
1427-01-01,0.68
1428-01-01,0.76
1429-01-01,-1.63
1430-01-01,1.01
1431-01-01,-0.18
1432-01-01,-1.17
1433-01-01,0.34
1434-01-01,-2.71
1435-01-01,0.51
1436-01-01,2.63
1437-01-01,1.16
1438-01-01,0.45
1439-01-01,0.75
1440-01-01,-0.91
1441-01-01,1.39
1442-01-01,-0.37
1443-01-01,-1.36
1444-01-01,-0.92
1445-01-01,-2.4
1446-01-01,-1.11
1447-01-01,0.59
1448-01-01,2.2
1449-01-01,-0.4
1450-01-01,-0.13
1451-01-01,-0.54
1452-01-01,-1.88
1453-01-01,-1.91
1454-01-01,0.42
1455-01-01,-1.06
1456-01-01,-0.43
1457-01-01,3.13
1458-01-01,0.89
1459-01-01,1.01
1460-01-01,-1.1
1461-01-01,-0.13
1462-01-01,-0.27
1463-01-01,0.08
1464-01-01,0.94
1465-01-01,1.89
1466-01-01,0.53
1467-01-01,-0.31
1468-01-01,0.04
1469-01-01,-2.39
1470-01-01,0.77
1471-01-01,0.6
1472-01-01,-0.2
1473-01-01,-1.7
1474-01-01,-0.41
1475-01-01,0.2
1476-01-01,-0.04
1477-01-01,-0.85
1478-01-01,-0.29
1479-01-01,2.02
1480-01-01,-0.72
1481-01-01,0.06
1482-01-01,0.18
1483-01-01,-1.1
1484-01-01,-1.31
1485-01-01,-1.42
1486-01-01,-2.38
1487-01-01,-1.3
1488-01-01,-0.49
1489-01-01,-2.34
1490-01-01,-2.28
1491-01-01,-0.47
1492-01-01,-1.92
1493-01-01,-1.93
1494-01-01,-0.38
1495-01-01,-0.87
1496-01-01,-0.74
1497-01-01,0.35
1498-01-01,-1.76
1499-01-01,1.39
1500-01-01,-1.47
1501-01-01,1.69
1502-01-01,-0.76
1503-01-01,-1.35
1504-01-01,-0.44
1505-01-01,-0.15
1506-01-01,0.42
1507-01-01,-1.94
1508-01-01,-1.62
1509-01-01,1.12
1510-01-01,-0.55
1511-01-01,-1.92
1512-01-01,-0.27
1513-01-01,-1.39
1514-01-01,-1.45
1515-01-01,-1.99
1516-01-01,-1.69
1517-01-01,-0.68
1518-01-01,-2.35
1519-01-01,-3.5
1520-01-01,-0.37
1521-01-01,-2.33
1522-01-01,1.35
1523-01-01,2.49
1524-01-01,-0.21
1525-01-01,0.22
1526-01-01,0.02
1527-01-01,-0.65
1528-01-01,-1.4
1529-01-01,-0.83
1530-01-01,-0.42
1531-01-01,-1.05
1532-01-01,-1.19
1533-01-01,1.65
1534-01-01,-0.57
1535-01-01,-0.58
1536-01-01,0.02
1537-01-01,0.09
1538-01-01,1.55
1539-01-01,1.75
1540-01-01,-0.15
1541-01-01,-1.4
1542-01-01,-0.74
1543-01-01,-1.53
1544-01-01,-3.95
1545-01-01,-1.05
1546-01-01,-0.95
1547-01-01,1.62
1548-01-01,-0.37
1549-01-01,0.18
1550-01-01,-0.08
1551-01-01,-0.35
1552-01-01,-0.39
1553-01-01,-0.65
1554-01-01,1.25
1555-01-01,-0.37
1556-01-01,-0.88
1557-01-01,-1.51
1558-01-01,0.11
1559-01-01,-1.57
1560-01-01,-0.43
1561-01-01,2.9
1562-01-01,2.96
1563-01-01,-1.5
1564-01-01,-1.16
1565-01-01,-0.87
1566-01-01,-0.21
1567-01-01,-0.83
1568-01-01,1.53
1569-01-01,0.18
1570-01-01,1.1
1571-01-01,2.97
1572-01-01,3.58
1573-01-01,2.87
1574-01-01,0.54
1575-01-01,0.59
1576-01-01,1.35
1577-01-01,-0.2
1578-01-01,0.52
1579-01-01,0.14
1580-01-01,1.5
1581-01-01,0.94
1582-01-01,-0.02
1583-01-01,-1.16
1584-01-01,0.03
1585-01-01,1.43
1586-01-01,2.3
1587-01-01,2.75
1588-01-01,1.87
1589-01-01,1.2
1590-01-01,-0.68
1591-01-01,-0.83
1592-01-01,-1.08
1593-01-01,0.34
1594-01-01,-0.89
1595-01-01,1.5
1596-01-01,-0.43
1597-01-01,-2.86
1598-01-01,-1.14
1599-01-01,-0.67
1600-01-01,0.64
1601-01-01,1.11
1602-01-01,-0.39
1603-01-01,2.56
1604-01-01,0.69
1605-01-01,-0.21
1606-01-01,0.6
1607-01-01,-2.45
1608-01-01,-0.45
1609-01-01,-0.92
1610-01-01,1.16
1611-01-01,3.24
1612-01-01,0.71
1613-01-01,0.4
1614-01-01,0.41
1615-01-01,-1.74
1616-01-01,0.18
1617-01-01,-0.59
1618-01-01,-0.64
1619-01-01,-0.05
1620-01-01,-2.17
1621-01-01,-1.45
1622-01-01,-0.49
1623-01-01,0.15
1624-01-01,-0.5
1625-01-01,-0.65
1626-01-01,0.85
1627-01-01,0.97
1628-01-01,3.36
1629-01-01,1.43
1630-01-01,1.63
1631-01-01,0.27
1632-01-01,1.74
1633-01-01,0.08
1634-01-01,-3.22
1635-01-01,-1.93
1636-01-01,-0.2
1637-01-01,1.1
1638-01-01,0.98
1639-01-01,-2.9
1640-01-01,1.67
1641-01-01,2.19
1642-01-01,2.74
1643-01-01,1.65
1644-01-01,0.88
1645-01-01,0.81
1646-01-01,0.5
1647-01-01,-0.82
1648-01-01,-0.57
1649-01-01,-0.13
