time,tasmin,tasmax,pr
2060-01-01,25.5,31.66,0.26
2060-01-02,26.22,31.6,0.64
2060-01-03,26.08,30.78,0.65
2060-01-04,25.35,31.2,0.0
2060-01-05,25.26,31.2,0.01
2060-01-06,24.9,30.87,0.01
2060-01-07,25.35,30.47,11.8
2060-01-08,25.54,29.84,0.36
2060-01-09,24.9,29.89,0.06
2060-01-10,23.62,28.94,0.0
2060-01-11,22.45,29.23,0.0
2060-01-12,22.41,29.08,0.0
2060-01-13,23.21,29.83,0.09
2060-01-14,24.53,30.53,0.05
2060-01-15,23.9,30.63,0.1
2060-01-16,23.78,30.99,0.0
2060-01-17,23.75,30.49,0.0
2060-01-18,23.65,30.04,0.0
2060-01-19,23.32,30.14,0.0
2060-01-20,23.79,30.75,0.0
2060-01-21,22.83,30.52,0.0
2060-01-22,23.8,30.19,0.0
2060-01-23,24.64,30.39,0.2
2060-01-24,24.47,29.36,0.1
2060-01-25,24.86,30.12,0.01
2060-01-26,24.84,31.1,0.01
2060-01-27,23.98,30.93,0.0
2060-01-28,23.76,30.18,0.0
2060-01-29,23.84,30.24,0.0
2060-01-30,23.94,30.57,0.0
2060-01-31,24.76,30.77,14.32
2060-02-01,24.61,29.18,3.38
2060-02-02,24.36,30.23,0.1
2060-02-03,23.74,30.35,0.0
2060-02-04,24.6,31.15,0.0
2060-02-05,25.28,31.12,2.37
2060-02-06,25.5,29.4,5.3
2060-02-07,24.8,30.12,0.48
2060-02-08,23.97,30.67,0.0
2060-02-09,22.96,30.65,0.0
2060-02-10,24.04,31.05,0.0
2060-02-11,25.02,30.13,0.02
2060-02-12,25.38,30.98,0.05
2060-02-13,25.76,31.79,0.01
2060-02-14,26.28,31.4,0.02
2060-02-15,26.78,31.53,0.1
2060-02-16,24.7,32.05,0.0
2060-02-17,25.34,31.47,0.0
2060-02-18,25.74,33.32,0.05
2060-02-19,26.43,31.21,0.51
2060-02-20,27.21,32.18,0.59
2060-02-21,27.02,31.59,0.02
2060-02-22,25.96,31.14,0.0
2060-02-23,26.17,31.37,0.18
2060-02-24,26.18,31.18,17.71
2060-02-25,24.48,26.81,80.06
2060-02-26,24.2,27.27,65.54
2060-02-27,24.56,26.82,5.72
2060-02-28,23.91,27.83,3.53
2060-02-29,22.72,28.58,0.03
2060-03-01,23.45,28.72,0.0
2060-03-02,24.12,29.06,0.21
2060-03-03,23.42,27.99,0.0
2060-03-04,24.48,29.27,0.0
2060-03-05,24.67,29.45,0.06
2060-03-06,23.15,29.05,0.02
2060-03-07,22.31,28.56,0.0
2060-03-08,22.4,29.01,0.0
2060-03-09,22.12,28.59,0.0
2060-03-10,23.67,28.36,0.03
2060-03-11,24.03,29.46,0.05
2060-03-12,24.16,28.76,0.0
2060-03-13,24.61,29.87,0.0
2060-03-14,24.43,30.27,0.0
2060-03-15,25.17,30.25,0.0
2060-03-16,25.38,30.07,0.2
2060-03-17,25.04,30.78,0.0
2060-03-18,25.82,32.27,0.12
2060-03-19,27.0,32.39,0.03
2060-03-20,27.01,32.03,0.0
2060-03-21,27.16,32.04,0.01
2060-03-22,27.9,32.42,13.31
2060-03-23,27.68,30.95,1.5
2060-03-24,27.21,31.58,4.24
2060-03-25,27.3,30.93,0.31
2060-03-26,26.73,31.53,0.67
2060-03-27,26.14,31.62,0.0
2060-03-28,28.08,31.73,0.18
2060-03-29,27.88,32.23,0.01
2060-03-30,27.82,32.5,0.01
2060-03-31,26.5,32.29,0.0
2060-04-01,27.37,31.83,0.0
2060-04-02,27.87,32.64,0.36
2060-04-03,27.49,32.29,3.47
2060-04-04,25.74,31.89,15.54
2060-04-05,26.44,30.26,4.85
2060-04-06,26.89,30.8,6.9
2060-04-07,25.82,30.69,1.46
2060-04-08,26.8,31.46,3.09
2060-04-09,27.19,31.73,7.71
2060-04-10,27.32,31.58,1.98
2060-04-11,26.5,31.39,0.34
2060-04-12,25.21,31.15,0.0
2060-04-13,26.22,31.11,7.63
2060-04-14,26.06,31.16,0.79
2060-04-15,23.58,32.04,0.04
2060-04-16,24.27,31.46,0.0
2060-04-17,25.45,30.59,0.09
2060-04-18,25.11,30.53,0.15
2060-04-19,24.47,30.74,0.02
2060-04-20,24.28,30.2,0.01
2060-04-21,23.56,29.93,0.0
2060-04-22,24.06,31.1,0.0
2060-04-23,23.94,29.79,0.06
2060-04-24,22.49,29.21,0.0
2060-04-25,22.05,28.98,0.0
2060-04-26,22.65,29.07,0.0
2060-04-27,23.18,29.94,0.0
2060-04-28,23.8,29.76,0.0
2060-04-29,23.75,29.24,0.03
2060-04-30,24.07,28.58,0.06
2060-05-01,23.74,28.35,0.05
2060-05-02,23.39,28.16,0.01
2060-05-03,22.51,28.92,0.01
2060-05-04,21.96,29.03,0.0
2060-05-05,24.17,29.44,0.05
2060-05-06,24.03,30.41,0.05
2060-05-07,24.31,29.9,0.02
2060-05-08,25.11,29.54,0.04
2060-05-09,21.32,29.04,0.0
2060-05-10,20.73,28.28,0.02
2060-05-11,20.58,28.05,0.0
2060-05-12,20.54,31.21,0.0
2060-05-13,21.36,26.69,0.02
2060-05-14,20.25,27.9,0.01
2060-05-15,20.39,27.57,0.0
2060-05-16,20.96,27.59,0.0
2060-05-17,20.11,28.06,0.01
2060-05-18,20.86,28.41,0.0
2060-05-19,22.29,27.65,0.0
2060-05-20,22.41,27.88,0.4
2060-05-21,21.92,28.24,0.0
2060-05-22,22.2,29.23,0.0
2060-05-23,21.72,31.28,0.01
2060-05-24,20.29,28.91,0.01
2060-05-25,20.27,26.89,0.02
2060-05-26,19.99,27.03,0.01
2060-05-27,20.3,27.07,0.11
2060-05-28,19.32,26.92,0.02
2060-05-29,19.29,26.43,0.01
2060-05-30,21.87,27.7,1.19
2060-05-31,21.29,26.69,0.08
2060-06-01,22.99,27.23,0.68
2060-06-02,23.96,27.67,0.19
2060-06-03,22.58,27.68,0.08
2060-06-04,21.34,27.6,0.11
2060-06-05,21.21,27.13,0.06
2060-06-06,22.92,27.76,0.3
2060-06-07,20.96,26.71,0.03
2060-06-08,21.48,27.0,1.27
2060-06-09,20.28,27.03,0.45
2060-06-10,20.93,26.95,0.06
2060-06-11,21.21,26.87,0.02
2060-06-12,23.27,27.51,0.21
2060-06-13,22.22,26.82,0.08
2060-06-14,21.36,26.77,0.01
2060-06-15,19.95,27.03,0.11
2060-06-16,20.73,26.99,0.75
2060-06-17,19.33,25.54,0.06
2060-06-18,18.67,26.12,0.0
2060-06-19,19.15,25.83,0.0
2060-06-20,19.29,25.77,1.11
2060-06-21,18.45,24.3,0.0
2060-06-22,17.88,24.79,0.0
2060-06-23,18.64,25.09,0.0
2060-06-24,19.68,25.19,0.24
2060-06-25,18.05,24.74,0.0
2060-06-26,19.63,25.29,0.01
2060-06-27,20.23,25.94,0.56
2060-06-28,20.08,25.84,0.02
2060-06-29,20.61,26.41,0.0
2060-06-30,20.83,27.18,0.0
2060-07-01,16.13,27.98,0.0
2060-07-02,18.16,24.91,0.03
2060-07-03,18.37,25.01,0.02
2060-07-04,18.58,25.73,0.02
2060-07-05,17.98,26.57,0.0
