time,tasmin,tasmax,pr
1951-01-01,14.25,34.89,0.0
1951-01-02,13.7,30.93,0.0
1951-01-03,17.37,33.56,0.0
1951-01-04,12.99,37.49,45.98
1951-01-05,9.43,19.73,0.05
1951-01-06,11.33,23.88,0.0
1951-01-07,13.25,28.31,0.0
1951-01-08,12.68,28.0,0.0
1951-01-09,14.29,29.07,0.02
1951-01-10,17.2,31.7,0.04
1951-01-11,17.97,34.6,7.62
1951-01-12,16.15,29.66,5.04
1951-01-13,17.24,29.77,14.4
1951-01-14,9.1,23.47,0.8
1951-01-15,9.79,25.48,0.0
1951-01-16,12.61,25.1,0.01
1951-01-17,13.3,28.96,0.87
1951-01-18,13.76,29.57,0.13
1951-01-19,16.01,31.89,0.02
1951-01-20,19.16,35.96,0.0
1951-01-21,18.37,37.71,0.0
1951-01-22,15.36,33.7,0.0
1951-01-23,19.43,36.6,0.0
1951-01-24,19.7,40.67,0.03
1951-01-25,16.07,39.14,29.58
1951-01-26,18.37,29.48,0.0
1951-01-27,20.43,35.03,0.0
1951-01-28,19.52,36.34,0.0
1951-01-29,22.62,36.63,0.04
1951-01-30,19.7,32.53,17.19
1951-01-31,19.59,30.03,38.82
1951-02-01,18.18,22.63,5.33
1951-02-02,16.27,25.37,0.1
1951-02-03,18.16,26.03,7.54
1951-02-04,18.09,27.36,0.18
1951-02-05,19.3,31.23,6.78
1951-02-06,20.91,29.38,2.04
1951-02-07,20.38,30.17,5.39
1951-02-08,19.82,27.69,3.78
1951-02-09,20.58,33.14,5.32
1951-02-10,16.52,26.74,5.68
1951-02-11,15.4,23.5,12.22
1951-02-12,17.97,23.92,6.16
1951-02-13,18.92,29.77,1.89
1951-02-14,18.39,30.89,2.96
1951-02-15,19.64,28.59,0.42
1951-02-16,19.02,37.95,0.06
1951-02-17,22.29,38.81,1.03
1951-02-18,18.41,35.16,32.56
1951-02-19,11.72,22.1,0.26
1951-02-20,13.57,24.92,0.02
1951-02-21,13.38,26.78,0.0
1951-02-22,14.1,27.83,0.0
1951-02-23,16.38,29.99,0.03
1951-02-24,18.04,31.34,2.83
1951-02-25,14.86,23.27,6.84
1951-02-26,15.98,20.74,13.99
1951-02-27,16.22,24.14,8.35
1951-02-28,15.36,22.46,3.6
1951-03-01,16.55,25.4,1.1
1951-03-02,19.14,29.02,38.06
1951-03-03,18.44,22.76,41.76
1951-03-04,12.13,25.14,5.15
1951-03-05,11.33,24.14,0.0
1951-03-06,14.95,23.9,0.06
1951-03-07,16.56,25.62,0.44
1951-03-08,15.4,25.7,2.61
1951-03-09,14.99,26.24,0.91
1951-03-10,12.52,26.38,0.64
1951-03-11,11.67,24.96,0.0
1951-03-12,14.71,25.61,0.06
1951-03-13,15.66,27.83,0.01
