time,sc_pdsi
1400-01-01,0.61
1401-01-01,0.69
1402-01-01,0.19
1403-01-01,-0.83
1404-01-01,0.29
1405-01-01,4.38
1406-01-01,2.85
1407-01-01,0.4
1408-01-01,0.79
1409-01-01,0.01
1410-01-01,-0.58
1411-01-01,-2.86
1412-01-01,-2.44
1413-01-01,1.3
1414-01-01,1.02
1415-01-01,2.74
1416-01-01,-0.33
1417-01-01,0.86
1418-01-01,0.56
1419-01-01,-2.24
1420-01-01,-0.96
1421-01-01,1.72
1422-01-01,2.0
1423-01-01,-0.47
1424-01-01,-0.92
1425-01-01,-0.51
1426-01-01,1.7
1427-01-01,0.31
1428-01-01,-0.75
1429-01-01,-0.98
1430-01-01,0.46
1431-01-01,-2.7
1432-01-01,-0.4
1433-01-01,0.79
1434-01-01,-1.27
1435-01-01,1.44
1436-01-01,2.11
1437-01-01,0.71
1438-01-01,-1.03
1439-01-01,-2.88
1440-01-01,-1.63
1441-01-01,-0.44
1442-01-01,-2.19
1443-01-01,-2.17
1444-01-01,1.37
1445-01-01,-1.71
1446-01-01,0.87
1447-01-01,-0.57
1448-01-01,0.85
1449-01-01,-0.66
1450-01-01,-1.41
1451-01-01,-2.34
1452-01-01,-0.98
1453-01-01,-0.54
1454-01-01,-1.24
1455-01-01,-1.08
1456-01-01,-0.18
1457-01-01,1.27
1458-01-01,-1.49
1459-01-01,1.11
1460-01-01,1.43
1461-01-01,-2.32
1462-01-01,1.05
1463-01-01,-0.23
1464-01-01,-0.28
1465-01-01,0.39
1466-01-01,0.29
1467-01-01,0.26
1468-01-01,0.55
1469-01-01,0.46
1470-01-01,-0.56
1471-01-01,0.79
1472-01-01,-0.93
1473-01-01,-1.56
1474-01-01,-2.02
1475-01-01,-1.07
1476-01-01,2.1
1477-01-01,-0.5
1478-01-01,0.16
1479-01-01,1.22
1480-01-01,1.62
1481-01-01,-1.54
1482-01-01,-2.65
1483-01-01,-1.11
1484-01-01,-1.91
1485-01-01,-2.83
1486-01-01,-1.25
1487-01-01,0.83
1488-01-01,2.09
1489-01-01,0.1
1490-01-01,-0.27
1491-01-01,1.51
1492-01-01,0.91
1493-01-01,2.19
1494-01-01,1.19
1495-01-01,-1.39
1496-01-01,-1.93
1497-01-01,-1.67
1498-01-01,-1.97
1499-01-01,-2.61
1500-01-01,1.01
1501-01-01,-0.87
1502-01-01,2.38
1503-01-01,-0.89
1504-01-01,0.48
1505-01-01,-0.81
1506-01-01,-0.26
1507-01-01,-1.36
1508-01-01,0.41
1509-01-01,0.11
1510-01-01,-2.01
1511-01-01,-1.09
1512-01-01,-0.5
1513-01-01,0.03
1514-01-01,-2.46
1515-01-01,1.35
1516-01-01,1.88
1517-01-01,-0.63
1518-01-01,-2.28
1519-01-01,-2.57
1520-01-01,0.32
1521-01-01,0.17
1522-01-01,1.11
1523-01-01,1.36
1524-01-01,3.16
1525-01-01,0.29
1526-01-01,-1.53
1527-01-01,-0.09
1528-01-01,0.26
1529-01-01,0.1
1530-01-01,-1.23
1531-01-01,0.61
1532-01-01,1.87
1533-01-01,0.17
1534-01-01,0.88
1535-01-01,0.6
1536-01-01,-0.34
1537-01-01,-1.18
1538-01-01,0.58
1539-01-01,1.88
1540-01-01,-0.23
1541-01-01,1.69
1542-01-01,0.74
1543-01-01,0.01
1544-01-01,-1.55
1545-01-01,-0.96
1546-01-01,1.67
1547-01-01,2.13
1548-01-01,1.56
1549-01-01,-0.62
1550-01-01,-0.95
1551-01-01,0.65
1552-01-01,-1.52
1553-01-01,1.14
1554-01-01,-1.81
1555-01-01,-1.63
1556-01-01,-2.37
1557-01-01,-1.32
1558-01-01,-1.12
1559-01-01,-1.27
1560-01-01,1.15
1561-01-01,0.97
1562-01-01,-3.65
1563-01-01,-0.13
1564-01-01,-2.46
1565-01-01,-1.63
1566-01-01,1.42
1567-01-01,1.15
1568-01-01,0.61
1569-01-01,1.24
1570-01-01,2.14
1571-01-01,3.9
1572-01-01,2.16
1573-01-01,3.09
1574-01-01,-2.16
1575-01-01,-0.71
1576-01-01,-0.19
1577-01-01,-0.61
1578-01-01,0.06
1579-01-01,0.58
1580-01-01,1.49
1581-01-01,0.03
1582-01-01,-0.29
1583-01-01,-0.52
1584-01-01,-0.21
1585-01-01,0.66
1586-01-01,1.6
1587-01-01,1.54
1588-01-01,0.86
1589-01-01,0.54
1590-01-01,-0.36
1591-01-01,-0.59
1592-01-01,-0.8
1593-01-01,-1.35
1594-01-01,1.19
1595-01-01,-0.95
1596-01-01,-1.87
1597-01-01,-0.67
1598-01-01,0.29
1599-01-01,0.21
1600-01-01,0.28
1601-01-01,0.6
1602-01-01,0.34
1603-01-01,1.85
1604-01-01,-1.0
1605-01-01,0.37
1606-01-01,-0.53
1607-01-01,-2.31
1608-01-01,0.77
1609-01-01,0.05
1610-01-01,1.33
1611-01-01,2.06
1612-01-01,-0.22
1613-01-01,2.41
1614-01-01,-0.37
1615-01-01,-0.03
1616-01-01,-0.36
1617-01-01,1.97
1618-01-01,1.5
1619-01-01,-1.01
1620-01-01,-0.84
1621-01-01,-0.1
1622-01-01,-0.12
1623-01-01,0.41
1624-01-01,-0.94
1625-01-01,3.6
1626-01-01,2.17
1627-01-01,4.16
1628-01-01,0.85
1629-01-01,-0.5
1630-01-01,-0.49
1631-01-01,-2.71
1632-01-01,1.03
1633-01-01,0.09
1634-01-01,-1.37
1635-01-01,-3.91
1636-01-01,0.07
1637-01-01,-0.17
1638-01-01,0.69
1639-01-01,-0.92
1640-01-01,1.29
1641-01-01,0.94
1642-01-01,-2.17
1643-01-01,1.19
1644-01-01,2.49
1645-01-01,-2.56
1646-01-01,-2.87
1647-01-01,-0.98
1648-01-01,2.38
1649-01-01,1.06
1650-01-01,-2.25
1651-01-01,-1.15
1652-01-01,0.81
1653-01-01,0.15
1654-01-01,-0.21
1655-01-01,-0.02
1656-01-01,-1.65
1657-01-01,-0.6
1658-01-01,1.4
1659-01-01,-1.6
1660-01-01,-3.35
1661-01-01,1.95
1662-01-01,2.83
1663-01-01,0.3
1664-01-01,-1.41
1665-01-01,-0.9
1666-01-01,0.27
1667-01-01,1.05
1668-01-01,0.4
1669-01-01,-1.28
1670-01-01,0.47
1671-01-01,-0.14
1672-01-01,-0.58
1673-01-01,0.12
1674-01-01,0.49
1675-01-01,0.51
1676-01-01,-1.51
1677-01-01,0.69
1678-01-01,-0.82
1679-01-01,0.38
1680-01-01,-1.72
1681-01-01,-0.73
1682-01-01,-0.57
1683-01-01,-0.18
1684-01-01,-2.08
1685-01-01,0.29
1686-01-01,0.32
1687-01-01,2.23
1688-01-01,1.96
1689-01-01,0.91
1690-01-01,2.42
1691-01-01,0.63
1692-01-01,-0.53
1693-01-01,0.69
1694-01-01,-1.27
1695-01-01,-3.05
1696-01-01,-0.09
1697-01-01,1.15
1698-01-01,0.72
1699-01-01,-1.38
1700-01-01,-1.69
1701-01-01,0.42
1702-01-01,-0.77
1703-01-01,-0.46
1704-01-01,-0.77
1705-01-01,-1.34
1706-01-01,0.76
1707-01-01,-0.04
1708-01-01,-1.12
1709-01-01,-1.87
1710-01-01,-1.39
1711-01-01,1.22
1712-01-01,1.3
1713-01-01,0.69
1714-01-01,0.89
1715-01-01,3.28
1716-01-01,1.55
1717-01-01,-1.31
1718-01-01,-1.49
1719-01-01,-2.29
1720-01-01,0.94
1721-01-01,-0.79
1722-01-01,-0.88
1723-01-01,2.1
1724-01-01,0.41
1725-01-01,1.7
1726-01-01,-1.02
1727-01-01,0.54
1728-01-01,-0.62
1729-01-01,1.43
1730-01-01,1.77
1731-01-01,2.66
1732-01-01,1.68
1733-01-01,0.02
1734-01-01,-2.61
1735-01-01,0.52
1736-01-01,1.68
1737-01-01,-1.83
1738-01-01,-0.99
1739-01-01,2.14
1740-01-01,2.15
1741-01-01,1.99
1742-01-01,3.51
1743-01-01,3.65
1744-01-01,-0.05
1745-01-01,-2.83
1746-01-01,-1.57
1747-01-01,1.01
1748-01-01,1.82
1749-01-01,0.72
1750-01-01,-1.83
1751-01-01,0.54
1752-01-01,1.77
1753-01-01,3.0
1754-01-01,-0.35
1755-01-01,0.06
1756-01-01,1.42
1757-01-01,2.92
1758-01-01,0.72
1759-01-01,-0.06
1760-01-01,-2.53
1761-01-01,-0.25
1762-01-01,-1.2
1763-01-01,-2.26
1764-01-01,-2.59
1765-01-01,0.31
1766-01-01,-0.1
1767-01-01,0.96
1768-01-01,-0.16
1769-01-01,-0.92
1770-01-01,0.36
1771-01-01,-0.41
1772-01-01,0.86
1773-01-01,1.21
1774-01-01,-0.26
1775-01-01,-1.38
1776-01-01,-1.39
1777-01-01,1.92
1778-01-01,1.02
1779-01-01,1.04
1780-01-01,-0.35
1781-01-01,0.51
1782-01-01,-1.64
1783-01-01,-2.12
1784-01-01,-1.3
1785-01-01,-0.28
1786-01-01,2.08
1787-01-01,0.67
1788-01-01,0.92
1789-01-01,0.46
1790-01-01,-0.45
1791-01-01,-0.21
1792-01-01,-1.93
1793-01-01,-0.25
1794-01-01,0.12
1795-01-01,-0.89
1796-01-01,0.66
1797-01-01,3.84
