time,tasmin,tasmax,pr
2030-01-01,20.97,36.48,2.58
2030-01-02,20.97,34.46,10.6
2030-01-03,22.81,31.66,3.2
2030-01-04,21.82,34.25,42.18
2030-01-05,23.41,33.11,14.09
2030-01-06,21.79,35.46,48.89
2030-01-07,20.92,26.5,19.31
2030-01-08,21.68,29.54,9.22
2030-01-09,18.12,30.76,3.17
2030-01-10,20.78,30.17,3.29
2030-01-11,24.4,34.02,0.53
2030-01-12,22.95,35.84,5.02
2030-01-13,24.08,31.37,8.12
2030-01-14,20.93,28.97,2.62
2030-01-15,19.5,34.01,0.85
2030-01-16,14.86,29.84,0.0
2030-01-17,17.13,30.07,0.0
2030-01-18,21.23,32.47,0.0
2030-01-19,20.77,35.25,0.0
2030-01-20,19.62,33.28,0.0
2030-01-21,17.83,34.0,0.0
2030-01-22,14.31,27.93,0.0
2030-01-23,20.8,31.49,0.0
2030-01-24,22.65,36.14,44.39
2030-01-25,15.85,27.71,1.15
2030-01-26,19.35,27.91,0.04
2030-01-27,19.17,33.54,0.01
2030-01-28,23.73,34.43,1.63
2030-01-29,20.78,35.57,32.29
2030-01-30,21.55,26.98,13.1
2030-01-31,25.94,34.47,0.42
2030-02-01,23.97,32.0,7.33
2030-02-02,26.15,34.42,0.07
2030-02-03,12.14,31.84,11.98
2030-02-04,7.18,18.42,0.03
2030-02-05,13.11,22.62,0.0
2030-02-06,16.47,26.94,0.05
2030-02-07,16.09,28.54,0.34
2030-02-08,15.86,28.99,0.0
2030-02-09,18.86,29.91,0.0
2030-02-10,17.72,32.38,24.55
2030-02-11,16.92,24.09,0.91
2030-02-12,19.81,29.66,0.08
2030-02-13,12.41,28.17,0.0
2030-02-14,9.57,25.37,0.0
2030-02-15,14.9,25.49,0.0
2030-02-16,16.25,28.45,0.0
2030-02-17,19.47,29.29,0.02
2030-02-18,19.37,32.31,0.0
2030-02-19,20.55,32.17,0.02
2030-02-20,21.55,32.28,0.0
2030-02-21,23.96,33.77,0.01
2030-02-22,25.27,36.35,0.99
2030-02-23,17.85,38.52,0.0
