time,tasmin,tasmax,pr
1951-01-01,11.26,23.69,4.34
1951-01-02,9.02,18.34,0.05
1951-01-03,11.7,21.05,0.0
1951-01-04,11.88,21.02,20.4
1951-01-05,5.92,15.76,4.0
1951-01-06,9.19,16.07,2.08
1951-01-07,5.75,17.09,0.58
1951-01-08,8.38,18.06,0.09
1951-01-09,9.7,21.56,0.02
1951-01-10,16.01,27.33,0.22
1951-01-11,7.39,25.54,24.84
1951-01-12,8.36,17.06,0.03
1951-01-13,7.65,19.01,0.01
1951-01-14,8.43,19.03,0.02
1951-01-15,9.27,21.73,0.0
1951-01-16,10.03,23.08,0.24
1951-01-17,10.98,17.93,0.46
1951-01-18,11.93,22.51,0.02
1951-01-19,12.47,22.76,0.29
1951-01-20,8.94,19.55,0.0
1951-01-21,12.49,23.89,0.0
1951-01-22,12.39,27.26,0.0
1951-01-23,11.66,27.61,0.13
1951-01-24,12.41,25.36,0.0
1951-01-25,14.24,29.61,0.0
1951-01-26,19.43,33.67,0.0
1951-01-27,20.77,34.68,0.0
1951-01-28,20.95,37.45,0.0
1951-01-29,15.87,39.02,2.0
1951-01-30,10.36,24.46,0.0
1951-01-31,13.28,22.3,1.04
1951-02-01,11.47,23.37,1.45
1951-02-02,11.04,21.56,0.02
1951-02-03,12.97,22.24,0.75
1951-02-04,13.87,25.03,0.11
1951-02-05,15.17,31.7,3.5
1951-02-06,12.23,18.07,0.3
1951-02-07,15.17,20.34,3.64
1951-02-08,17.45,26.64,0.89
1951-02-09,11.1,26.71,0.0
1951-02-10,11.76,20.01,0.17
1951-02-11,9.38,21.19,0.02
1951-02-12,10.17,24.99,0.4
1951-02-13,11.58,16.86,0.48
1951-02-14,10.0,20.97,0.18
1951-02-15,10.84,24.35,0.03
1951-02-16,10.73,19.53,0.1
1951-02-17,11.03,16.36,45.29
1951-02-18,8.2,16.8,0.9
1951-02-19,8.82,17.99,0.1
1951-02-20,8.56,20.83,0.08
1951-02-21,9.58,19.01,0.11
1951-02-22,11.14,22.01,0.01
1951-02-23,11.03,21.42,0.06
1951-02-24,8.24,18.37,0.02
1951-02-25,6.18,16.12,0.0
1951-02-26,7.4,16.88,0.0
1951-02-27,11.74,17.67,1.0
1951-02-28,13.45,16.93,4.69
1951-03-01,9.92,20.41,1.14
1951-03-02,10.58,19.39,0.27
1951-03-03,10.07,20.8,0.12
1951-03-04,9.45,21.44,0.27
1951-03-05,9.68,21.91,0.0
1951-03-06,12.8,22.27,0.49
1951-03-07,13.52,23.41,0.69
1951-03-08,12.17,20.52,0.29
1951-03-09,8.57,21.48,1.24
1951-03-10,7.95,16.55,0.03
1951-03-11,8.92,21.28,0.01
1951-03-12,10.14,22.82,0.0
1951-03-13,13.32,19.47,0.84
1951-03-14,12.75,23.39,1.42
1951-03-15,11.79,20.48,0.01
1951-03-16,7.66,19.07,0.0
1951-03-17,9.14,21.17,2.56
1951-03-18,6.44,14.02,0.12
1951-03-19,13.42,18.13,2.39
1951-03-20,9.93,17.71,1.75
1951-03-21,9.8,17.63,0.2
1951-03-22,8.35,19.04,0.46
1951-03-23,4.51,15.39,0.01
1951-03-24,9.13,20.16,0.08
1951-03-25,3.81,16.2,0.22
1951-03-26,4.27,11.76,9.43
1951-03-27,8.65,16.69,0.09
1951-03-28,9.54,19.06,0.02
1951-03-29,7.28,19.68,0.0
1951-03-30,10.22,19.99,1.18
1951-03-31,8.8,16.87,0.83
1951-04-01,8.58,20.97,0.02
1951-04-02,9.3,21.67,0.0
1951-04-03,9.72,24.51,0.04
1951-04-04,6.78,14.76,0.29
1951-04-05,2.78,15.13,0.0
1951-04-06,7.92,18.29,0.02
1951-04-07,8.65,18.3,0.23
1951-04-08,7.66,16.41,0.15
1951-04-09,6.12,16.81,0.03
1951-04-10,8.68,18.58,0.93
1951-04-11,9.51,21.11,0.08
1951-04-12,3.86,13.77,1.11
1951-04-13,7.29,14.1,1.25
1951-04-14,10.19,15.21,0.48
1951-04-15,7.74,15.44,1.87
1951-04-16,6.69,15.92,0.18
1951-04-17,3.75,11.73,0.04
1951-04-18,7.33,15.49,0.02
1951-04-19,11.3,19.66,0.0
1951-04-20,4.04,17.55,0.43
1951-04-21,2.22,12.1,0.02
1951-04-22,3.32,15.73,0.0
1951-04-23,5.25,14.57,0.0
1951-04-24,7.13,16.93,0.06
1951-04-25,9.68,18.68,0.33
1951-04-26,5.78,12.46,4.74
1951-04-27,11.22,15.24,0.21
1951-04-28,2.51,14.96,0.09
1951-04-29,2.98,10.41,0.06
1951-04-30,5.52,12.55,3.1
1951-05-01,8.42,13.51,0.35
1951-05-02,6.67,14.84,2.27
1951-05-03,4.49,17.07,1.3
1951-05-04,5.0,13.74,0.11
1951-05-05,10.53,15.38,0.11
1951-05-06,8.79,16.96,0.03
1951-05-07,9.0,17.86,1.49
1951-05-08,3.59,13.36,2.72
1951-05-09,1.75,10.43,0.02
1951-05-10,4.45,12.77,0.11
1951-05-11,4.7,14.73,0.04
1951-05-12,7.62,15.71,0.75
1951-05-13,7.31,17.94,0.08
1951-05-14,6.48,13.74,2.17
1951-05-15,5.12,11.11,0.08
1951-05-16,3.92,10.58,0.0
1951-05-17,5.44,12.72,0.01
1951-05-18,5.5,13.68,0.03
1951-05-19,6.98,15.98,0.04
1951-05-20,6.17,16.52,0.0
1951-05-21,4.41,16.24,0.0
1951-05-22,5.08,15.57,0.05
1951-05-23,3.7,10.81,1.59
1951-05-24,6.12,9.92,13.87
1951-05-25,7.2,10.51,14.65
1951-05-26,6.76,12.4,0.0
1951-05-27,10.4,13.38,0.51
1951-05-28,5.11,14.59,0.01
1951-05-29,5.93,13.15,2.72
1951-05-30,2.51,8.77,9.89
1951-05-31,5.38,9.9,0.05
1951-06-01,6.03,11.78,0.03
1951-06-02,6.7,11.95,0.03
1951-06-03,4.77,12.59,0.17
1951-06-04,2.91,9.85,0.85
1951-06-05,8.76,11.85,0.06
1951-06-06,7.25,13.89,0.0
1951-06-07,6.44,13.63,0.15
1951-06-08,2.9,10.86,0.7
1951-06-09,1.19,8.71,0.37
1951-06-10,1.39,7.9,10.31
1951-06-11,5.48,8.74,40.62
1951-06-12,2.8,7.91,4.58
1951-06-13,1.55,9.02,1.02
1951-06-14,4.98,8.75,2.98
1951-06-15,0.72,9.32,0.0
1951-06-16,0.63,9.56,0.03
1951-06-17,2.33,10.35,0.05
1951-06-18,2.84,9.78,1.13
1951-06-19,4.26,8.8,3.65
1951-06-20,0.67,9.56,0.0
1951-06-21,2.96,8.46,0.01
