time,sc_pdsi
1400-01-01,-1.14
1401-01-01,-1.54
1402-01-01,1.18
1403-01-01,1.25
1404-01-01,-1.8
1405-01-01,0.53
1406-01-01,2.79
1407-01-01,2.91
1408-01-01,0.53
1409-01-01,0.08
1410-01-01,-0.96
1411-01-01,-0.11
1412-01-01,-2.08
1413-01-01,-0.2
1414-01-01,2.83
1415-01-01,2.1
1416-01-01,0.29
1417-01-01,-0.47
1418-01-01,-0.06
1419-01-01,-0.82
1420-01-01,-0.91
1421-01-01,-0.85
1422-01-01,0.23
1423-01-01,2.58
1424-01-01,4.05
1425-01-01,0.25
1426-01-01,1.57
1427-01-01,2.54
1428-01-01,0.53
1429-01-01,-1.98
1430-01-01,4.01
1431-01-01,1.0
1432-01-01,-1.63
1433-01-01,2.1
1434-01-01,-0.6
1435-01-01,-0.59
1436-01-01,-0.49
1437-01-01,-0.97
1438-01-01,-2.01
1439-01-01,-3.19
1440-01-01,-0.9
1441-01-01,-1.9
1442-01-01,-1.67
1443-01-01,-3.15
1444-01-01,0.66
1445-01-01,-0.66
1446-01-01,-0.4
1447-01-01,0.21
1448-01-01,-0.86
1449-01-01,-0.33
1450-01-01,-0.81
1451-01-01,-0.38
1452-01-01,0.92
1453-01-01,0.57
1454-01-01,-0.48
1455-01-01,0.97
1456-01-01,-0.49
1457-01-01,0.15
1458-01-01,-2.11
1459-01-01,-1.45
1460-01-01,-0.48
1461-01-01,-1.46
1462-01-01,-1.21
1463-01-01,-2.54
1464-01-01,-3.73
1465-01-01,-2.95
1466-01-01,-0.66
1467-01-01,0.3
1468-01-01,1.75
1469-01-01,1.29
1470-01-01,0.67
1471-01-01,0.05
1472-01-01,0.71
1473-01-01,1.38
1474-01-01,1.99
1475-01-01,-0.56
1476-01-01,0.87
1477-01-01,0.49
1478-01-01,0.63
1479-01-01,-1.02
1480-01-01,-0.25
1481-01-01,0.4
1482-01-01,0.32
1483-01-01,0.02
1484-01-01,-0.52
1485-01-01,-1.22
1486-01-01,-1.24
1487-01-01,-1.19
1488-01-01,1.04
1489-01-01,0.76
1490-01-01,-3.04
1491-01-01,-1.36
1492-01-01,-2.3
1493-01-01,-1.74
1494-01-01,0.83
1495-01-01,-0.29
1496-01-01,-1.55
1497-01-01,-2.47
1498-01-01,-1.95
1499-01-01,-1.47
1500-01-01,-0.26
1501-01-01,-0.4
1502-01-01,-0.07
1503-01-01,-0.28
1504-01-01,-0.25
1505-01-01,-1.73
1506-01-01,-1.86
1507-01-01,-1.07
1508-01-01,-1.72
1509-01-01,0.67
1510-01-01,-0.19
1511-01-01,-1.17
1512-01-01,1.85
1513-01-01,2.38
1514-01-01,-0.3
1515-01-01,-0.38
1516-01-01,-0.01
1517-01-01,-0.28
1518-01-01,-1.45
1519-01-01,-2.46
1520-01-01,1.92
1521-01-01,0.95
1522-01-01,2.11
1523-01-01,2.78
1524-01-01,1.1
1525-01-01,0.42
1526-01-01,-0.26
1527-01-01,-0.1
1528-01-01,0.62
1529-01-01,2.77
1530-01-01,1.17
1531-01-01,0.14
1532-01-01,1.92
1533-01-01,0.71
1534-01-01,-0.29
1535-01-01,-0.34
1536-01-01,-1.11
1537-01-01,-1.59
1538-01-01,-1.11
1539-01-01,0.46
1540-01-01,-0.2
1541-01-01,1.1
1542-01-01,0.51
1543-01-01,-0.07
1544-01-01,0.64
1545-01-01,-0.34
1546-01-01,0.72
1547-01-01,1.47
1548-01-01,3.49
1549-01-01,1.88
1550-01-01,-1.05
1551-01-01,0.16
1552-01-01,2.88
1553-01-01,3.71
1554-01-01,3.5
1555-01-01,2.42
1556-01-01,1.75
1557-01-01,1.24
1558-01-01,0.47
1559-01-01,2.12
1560-01-01,0.82
1561-01-01,2.28
1562-01-01,0.9
1563-01-01,1.51
1564-01-01,2.0
1565-01-01,-1.05
1566-01-01,2.05
1567-01-01,3.8
1568-01-01,3.04
1569-01-01,2.04
1570-01-01,-1.38
1571-01-01,-0.02
1572-01-01,0.19
1573-01-01,1.27
1574-01-01,1.0
1575-01-01,-1.04
1576-01-01,1.15
1577-01-01,0.76
1578-01-01,0.29
1579-01-01,-0.11
1580-01-01,0.24
1581-01-01,0.35
1582-01-01,-0.5
1583-01-01,-0.82
1584-01-01,-1.11
1585-01-01,0.43
1586-01-01,-1.3
1587-01-01,-1.62
1588-01-01,-2.23
1589-01-01,-0.04
1590-01-01,-2.1
1591-01-01,-1.08
1592-01-01,-1.54
1593-01-01,-2.05
1594-01-01,-0.55
1595-01-01,-1.06
1596-01-01,-1.13
1597-01-01,-1.83
1598-01-01,-0.08
1599-01-01,1.42
1600-01-01,0.05
1601-01-01,0.52
1602-01-01,0.67
1603-01-01,3.95
1604-01-01,2.59
1605-01-01,0.66
1606-01-01,0.25
1607-01-01,-1.05
1608-01-01,-1.66
1609-01-01,-1.26
1610-01-01,0.09
1611-01-01,2.26
1612-01-01,1.4
1613-01-01,-0.65
1614-01-01,0.24
1615-01-01,0.43
1616-01-01,1.49
1617-01-01,0.97
1618-01-01,-0.33
1619-01-01,-1.2
1620-01-01,0.61
1621-01-01,-1.27
1622-01-01,-0.37
1623-01-01,0.65
1624-01-01,-1.09
1625-01-01,3.21
1626-01-01,2.45
1627-01-01,2.77
1628-01-01,1.27
1629-01-01,-1.13
1630-01-01,0.6
1631-01-01,-1.17
1632-01-01,-1.05
1633-01-01,1.39
1634-01-01,0.56
1635-01-01,-0.37
1636-01-01,0.32
1637-01-01,0.56
1638-01-01,-0.53
1639-01-01,-0.94
1640-01-01,-0.04
1641-01-01,0.08
1642-01-01,-2.01
1643-01-01,-0.91
1644-01-01,1.41
1645-01-01,2.06
1646-01-01,-0.55
1647-01-01,-0.41
1648-01-01,2.13
1649-01-01,1.51
1650-01-01,0.81
1651-01-01,-0.54
1652-01-01,2.83
1653-01-01,2.14
1654-01-01,2.43
1655-01-01,2.42
1656-01-01,-0.61
1657-01-01,0.57
1658-01-01,-0.59
1659-01-01,1.62
1660-01-01,-1.75
1661-01-01,-1.85
1662-01-01,1.02
1663-01-01,1.95
1664-01-01,2.03
1665-01-01,0.64
1666-01-01,-0.18
1667-01-01,1.0
1668-01-01,-1.35
1669-01-01,-1.9
1670-01-01,-0.1
1671-01-01,-1.24
1672-01-01,-1.45
1673-01-01,0.13
1674-01-01,-1.06
1675-01-01,-1.12
1676-01-01,-0.08
1677-01-01,-0.06
1678-01-01,1.42
1679-01-01,1.26
1680-01-01,1.03
1681-01-01,0.84
1682-01-01,2.06
1683-01-01,1.2
1684-01-01,-0.03
1685-01-01,0.19
1686-01-01,0.91
1687-01-01,0.96
1688-01-01,1.56
1689-01-01,-0.0
1690-01-01,0.48
1691-01-01,2.15
1692-01-01,-0.88
1693-01-01,-0.6
1694-01-01,0.1
1695-01-01,-2.71
1696-01-01,-0.41
1697-01-01,-0.06
1698-01-01,0.47
1699-01-01,-0.68
1700-01-01,-0.74
1701-01-01,-1.9
1702-01-01,-0.71
1703-01-01,-0.38
1704-01-01,-2.11
1705-01-01,-1.9
1706-01-01,-1.4
1707-01-01,-0.06
1708-01-01,0.82
1709-01-01,1.6
1710-01-01,-0.51
1711-01-01,-0.94
1712-01-01,-0.89
1713-01-01,-0.13
1714-01-01,-0.52
1715-01-01,-0.65
1716-01-01,1.53
1717-01-01,0.97
1718-01-01,0.1
1719-01-01,-1.53
1720-01-01,-2.09
1721-01-01,-0.71
1722-01-01,0.57
1723-01-01,0.25
1724-01-01,1.51
1725-01-01,3.2
1726-01-01,1.98
1727-01-01,-0.26
1728-01-01,-1.28
1729-01-01,-0.13
1730-01-01,-1.02
1731-01-01,1.48
1732-01-01,1.97
1733-01-01,2.46
1734-01-01,0.06
1735-01-01,-1.41
1736-01-01,-0.06
1737-01-01,0.52
1738-01-01,-0.34
1739-01-01,1.75
1740-01-01,1.48
1741-01-01,4.71
1742-01-01,2.07
1743-01-01,0.83
1744-01-01,2.02
1745-01-01,-2.11
1746-01-01,1.05
1747-01-01,-1.09
1748-01-01,-1.24
1749-01-01,0.6
1750-01-01,-0.21
1751-01-01,1.66
1752-01-01,0.56
1753-01-01,1.81
1754-01-01,-0.28
1755-01-01,1.29
1756-01-01,-0.36
1757-01-01,-0.29
1758-01-01,0.37
1759-01-01,-1.26
1760-01-01,-2.38
1761-01-01,-0.11
1762-01-01,-1.09
1763-01-01,-1.11
1764-01-01,-1.5
1765-01-01,0.33
1766-01-01,0.84
1767-01-01,2.09
1768-01-01,1.33
1769-01-01,-1.33
1770-01-01,0.18
1771-01-01,1.44
1772-01-01,0.85
1773-01-01,1.83
1774-01-01,1.77
1775-01-01,-1.98
1776-01-01,-0.83
1777-01-01,0.27
1778-01-01,-1.34
1779-01-01,0.85
1780-01-01,-2.57
1781-01-01,-0.21
1782-01-01,-0.94
1783-01-01,-1.71
1784-01-01,2.0
1785-01-01,-1.09
1786-01-01,-0.73
1787-01-01,-2.01
1788-01-01,0.5
1789-01-01,-2.19
1790-01-01,0.98
1791-01-01,-0.01
1792-01-01,-3.19
1793-01-01,-1.02
1794-01-01,1.02
1795-01-01,-0.13
1796-01-01,1.35
1797-01-01,0.61
1798-01-01,-2.32
1799-01-01,-2.55
1800-01-01,-2.75
1801-01-01,-1.2
1802-01-01,-0.3
1803-01-01,0.45
1804-01-01,-0.71
1805-01-01,-1.89
1806-01-01,1.7
1807-01-01,-1.6
1808-01-01,-2.81
1809-01-01,-0.21
1810-01-01,-1.66
1811-01-01,-0.77
1812-01-01,-1.21
1813-01-01,-2.05
1814-01-01,-1.35
1815-01-01,0.6
1816-01-01,-0.79
1817-01-01,-0.33
1818-01-01,-0.16
1819-01-01,0.46
1820-01-01,0.28
1821-01-01,-0.54
1822-01-01,0.13
1823-01-01,-0.9
1824-01-01,0.23
1825-01-01,-0.58
1826-01-01,1.41
1827-01-01,0.42
1828-01-01,-1.68
1829-01-01,-1.11
1830-01-01,0.4
1831-01-01,1.68
1832-01-01,-1.09
1833-01-01,-0.34
1834-01-01,-1.96
1835-01-01,-0.04
1836-01-01,-0.87
1837-01-01,-0.71
1838-01-01,0.22
1839-01-01,-1.86
1840-01-01,4.24
1841-01-01,1.9
1842-01-01,0.14
1843-01-01,0.01
1844-01-01,0.21
1845-01-01,-0.04
1846-01-01,-2.27
1847-01-01,1.67
1848-01-01,0.67
1849-01-01,1.24
1850-01-01,1.32
1851-01-01,0.95
1852-01-01,0.57
1853-01-01,-2.06
1854-01-01,-2.38
1855-01-01,0.06
1856-01-01,0.06
1857-01-01,-0.01
1858-01-01,-1.51
1859-01-01,0.7
1860-01-01,-0.2
1861-01-01,2.59
1862-01-01,1.85
1863-01-01,0.01
1864-01-01,-0.21
1865-01-01,-1.42
1866-01-01,-0.28
1867-01-01,1.76
1868-01-01,1.27
1869-01-01,-1.22
1870-01-01,-0.74
1871-01-01,0.66
1872-01-01,0.54
1873-01-01,2.12
1874-01-01,0.78
1875-01-01,0.3
1876-01-01,1.63
1877-01-01,-0.13
1878-01-01,-2.22
1879-01-01,1.12
1880-01-01,0.19
1881-01-01,0.94
1882-01-01,-1.87
1883-01-01,0.28
1884-01-01,-0.69
1885-01-01,-1.31
1886-01-01,-1.01
1887-01-01,2.18
1888-01-01,0.64
1889-01-01,-0.37
1890-01-01,1.18
1891-01-01,1.46
1892-01-01,-0.82
1893-01-01,-0.59
1894-01-01,-1.55
1895-01-01,-0.38
1896-01-01,-1.57
1897-01-01,-1.25
1898-01-01,-1.5
1899-01-01,-0.82
1900-01-01,-0.17
1901-01-01,0.64
1902-01-01,0.35
1903-01-01,-0.78
1904-01-01,2.56
1905-01-01,0.36
1906-01-01,-1.56
1907-01-01,1.28
1908-01-01,2.01
1909-01-01,1.81
1910-01-01,1.88
1911-01-01,2.1
1912-01-01,-0.96
1913-01-01,0.04
1914-01-01,-0.75
1915-01-01,-2.07
1916-01-01,0.85
