time,tasmin,tasmax,pr
2060-01-01,11.53,24.38,0.03
2060-01-02,14.75,24.15,0.01
2060-01-03,11.36,21.35,9.2
2060-01-04,8.78,20.41,0.0
2060-01-05,12.05,24.33,0.04
2060-01-06,7.84,18.1,4.97
2060-01-07,9.13,19.79,0.99
2060-01-08,9.32,22.56,0.0
2060-01-09,9.41,25.76,0.0
2060-01-10,11.89,21.49,0.77
2060-01-11,12.29,24.59,0.52
2060-01-12,10.37,23.56,0.0
2060-01-13,12.68,27.42,0.0
2060-01-14,14.19,27.82,0.0
2060-01-15,10.51,23.12,0.01
2060-01-16,15.26,28.37,0.0
2060-01-17,20.57,33.74,0.38
2060-01-18,9.58,30.06,0.0
2060-01-19,11.16,21.2,0.0
2060-01-20,14.27,22.77,0.29
2060-01-21,9.71,25.16,0.0
2060-01-22,8.14,19.15,0.03
2060-01-23,9.27,20.68,0.0
2060-01-24,12.14,23.48,0.0
2060-01-25,13.15,27.01,0.0
2060-01-26,12.79,29.16,1.15
2060-01-27,12.47,19.61,1.61
2060-01-28,17.19,23.41,10.91
2060-01-29,14.62,25.12,0.19
2060-01-30,13.59,21.69,0.01
2060-01-31,13.87,23.36,0.23
2060-02-01,11.01,16.5,54.3
2060-02-02,8.69,16.76,0.21
2060-02-03,8.26,19.14,0.03
2060-02-04,10.65,20.94,0.0
2060-02-05,11.81,19.37,0.2
2060-02-06,16.35,21.96,3.1
2060-02-07,13.77,26.39,13.38
2060-02-08,10.75,21.36,0.0
2060-02-09,14.26,24.4,0.01
2060-02-10,13.66,24.62,0.01
2060-02-11,16.61,29.45,0.0
2060-02-12,9.07,25.56,4.88
2060-02-13,9.12,19.77,0.0
2060-02-14,12.24,24.53,0.01
2060-02-15,10.22,19.48,2.05
2060-02-16,9.9,17.53,0.0
2060-02-17,11.28,19.44,0.04
2060-02-18,14.6,22.08,0.17
2060-02-19,12.34,25.12,0.08
2060-02-20,16.81,27.47,0.0
2060-02-21,19.62,31.43,18.7
2060-02-22,15.71,22.77,2.68
2060-02-23,11.97,23.75,0.02
2060-02-24,14.92,20.93,0.05
2060-02-25,13.42,23.2,1.82
2060-02-26,9.78,18.98,0.0
2060-02-27,9.61,21.57,0.46
2060-02-28,8.37,18.17,0.03
2060-02-29,11.74,21.46,0.0
2060-03-01,12.86,22.85,0.44
2060-03-02,7.48,17.74,0.0
2060-03-03,12.96,21.68,0.0
2060-03-04,15.62,26.47,1.2
2060-03-05,16.07,24.52,4.59
2060-03-06,15.74,21.61,0.92
2060-03-07,15.09,18.69,1.07
2060-03-08,13.29,20.61,0.01
2060-03-09,13.34,23.48,2.06
2060-03-10,13.68,22.98,0.57
2060-03-11,15.15,28.95,3.45
2060-03-12,10.93,16.98,0.69
2060-03-13,13.75,21.08,0.15
2060-03-14,13.34,23.44,0.33
